DATE,TIME,XR,YR,HEIGHT,TSS1,TSS2,TSS3,ALT,DEP,HEAD,LINE,DISCARD1,DISCARD2
22-05-2023,13:57:37.423,304305.78,6030991.52,NA,-3,5,2,0.79,40.18,174.34,214,NA,NA
22-05-2023,13:57:37.209,304305.77,6030991.63,NA,-1,18,2,0.78,40.19,174.27,214,NA,NA
22-05-2023,13:57:36.995,304305.75,6030991.73,NA,-1,-3,3,0.79,40.19,174.2,214,NA,NA
22-05-2023,13:57:36.673,304305.72,6030991.88,NA,2,2,4,0.78,40.19,174.13,214,NA,NA
22-05-2023,13:57:36.458,304305.71,6030991.98,NA,2,2,4,0.77,40.19,174.09,214,NA,NA
22-05-2023,13:57:36.245,304305.69,6030992.09,NA,-1,0,-3,0.77,40.2,174.05,214,NA,NA
22-05-2023,13:57:35.925,304305.66,6030992.24,NA,-2,0,-6,0.76,40.19,173.98,214,NA,NA
22-05-2023,13:57:35.711,304305.65,6030992.34,NA,-1,0,-1,0.76,40.17,173.95,214,NA,NA
22-05-2023,13:57:35.498,304305.63,6030992.45,NA,-1,-1,-2,0.76,40.16,173.94,214,NA,NA
22-05-2023,13:57:35.180,304305.61,6030992.6,NA,-2,-2,1,0.75,40.17,173.93,214,NA,NA
22-05-2023,13:57:34.965,304305.6,6030992.7,NA,6,-1,11,0.75,40.16,173.91,214,NA,NA
22-05-2023,13:57:34.752,304305.58,6030992.8,NA,5,-1,12,0.74,40.15,173.88,214,NA,NA
22-05-2023,13:57:34.432,304305.56,6030992.94,NA,4,2,1,0.74,40.14,173.84,214,NA,NA
22-05-2023,13:57:34.218,304305.55,6030993.04,NA,-3,1,4,0.73,40.14,173.82,214,NA,NA
22-05-2023,13:57:34.004,304305.53,6030993.14,NA,-3,1,4,0.73,40.15,173.81,214,NA,NA
22-05-2023,13:57:33.685,304305.52,6030993.28,NA,3,-2,-1,0.73,40.13,173.85,214,NA,NA
22-05-2023,13:57:33.471,304305.51,6030993.38,NA,1,0,-2,0.72,40.13,173.88,214,NA,NA
22-05-2023,13:57:33.257,304305.5,6030993.47,NA,0,0,-7,0.71,40.13,173.92,214,NA,NA
22-05-2023,13:57:32.936,304305.49,6030993.61,NA,0,1,-5,0.71,40.12,173.98,214,NA,NA
22-05-2023,13:57:32.722,304305.48,6030993.71,NA,1,-1,0,0.7,40.12,174.03,214,NA,NA
22-05-2023,13:57:32.508,304305.48,6030993.8,NA,2,-2,-1,0.7,40.13,174.06,214,NA,NA
22-05-2023,13:57:32.189,304305.47,6030993.94,NA,-3,1,-5,0.69,40.12,174.1,214,NA,NA
22-05-2023,13:57:31.975,304305.46,6030994.04,NA,2,-1,-4,0.68,40.12,174.12,214,NA,NA
22-05-2023,13:57:31.759,304305.45,6030994.13,NA,-2,1,-6,0.68,40.12,174.13,214,NA,NA
22-05-2023,13:57:31.438,304305.44,6030994.27,NA,-2,1,-6,0.68,40.12,174.13,214,NA,NA
22-05-2023,13:57:31.224,304305.43,6030994.37,NA,0,0,-4,0.69,40.12,174.13,214,NA,NA
22-05-2023,13:57:31.009,304305.42,6030994.46,NA,-1,1,-3,0.69,40.12,174.14,214,NA,NA
22-05-2023,13:57:30.688,304305.41,6030994.61,NA,-1,-2,-2,0.71,40.1,174.14,214,NA,NA
22-05-2023,13:57:30.474,304305.4,6030994.7,NA,-2,-2,1,0.71,40.1,174.11,214,NA,NA
22-05-2023,13:57:30.154,304305.38,6030994.85,NA,-2,0,4,0.72,40.09,174.06,214,NA,NA
22-05-2023,13:57:29.939,304305.36,6030994.94,NA,0,-2,4,0.73,40.1,174.02,214,NA,NA
22-05-2023,13:57:29.726,304305.35,6030995.04,NA,0,-1,3,0.73,40.11,173.94,214,NA,NA
22-05-2023,13:57:29.404,304305.32,6030995.18,NA,-2,0,1,0.74,40.11,173.86,214,NA,NA
22-05-2023,13:57:29.189,304305.31,6030995.28,NA,1,1,1,0.74,40.11,173.8,214,NA,NA
22-05-2023,13:57:28.977,304305.29,6030995.37,NA,-1,1,-1,0.75,40.1,173.73,214,NA,NA
22-05-2023,13:57:28.655,304305.26,6030995.51,NA,0,0,-1,0.75,40.1,173.64,214,NA,NA
22-05-2023,13:57:28.442,304305.25,6030995.6,NA,1,1,0,0.76,40.1,173.59,214,NA,NA
22-05-2023,13:57:28.230,304305.23,6030995.69,NA,-1,-1,-7,0.78,40.09,173.55,214,NA,NA
22-05-2023,13:57:27.910,304305.21,6030995.83,NA,1,1,-7,0.76,40.1,173.48,214,NA,NA
22-05-2023,13:57:27.696,304305.2,6030995.93,NA,2,0,-5,0.77,40.09,173.46,214,NA,NA
22-05-2023,13:57:27.481,304305.19,6030996.03,NA,3,1,-3,0.77,40.08,173.44,214,NA,NA
22-05-2023,13:57:27.161,304305.17,6030996.17,NA,3,1,-3,0.78,40.08,173.41,214,NA,NA
22-05-2023,13:57:26.946,304305.16,6030996.27,NA,-2,0,-4,0.79,40.08,173.41,214,NA,NA
22-05-2023,13:57:26.731,304305.15,6030996.36,NA,0,1,4,0.79,40.09,173.4,214,NA,NA
22-05-2023,13:57:26.408,304305.14,6030996.51,NA,6,1,11,0.8,40.08,173.41,214,NA,NA
22-05-2023,13:57:26.194,304305.13,6030996.6,NA,-2,1,-8,0.81,40.07,173.41,214,NA,NA
