DATE,TIME,XR,YR,HEIGHT,TSS1,TSS2,TSS3,ALT,DEP,HEAD,LINE,DISCARD1,DISCARD2
22-05-2023,14:09:53.366,304295.69,6030991.46,NA,-2,1,-8,0.73,40.2,174.89,218,NA,NA
22-05-2023,14:09:53.152,304295.68,6030991.55,NA,0,0,-5,0.74,40.18,174.88,218,NA,NA
22-05-2023,14:09:52.831,304295.66,6030991.68,NA,-3,-1,-15,0.73,40.19,174.84,218,NA,NA
22-05-2023,14:09:52.618,304295.65,6030991.77,NA,-1,2,-13,0.72,40.18,174.81,218,NA,NA
22-05-2023,14:09:52.404,304295.64,6030991.86,NA,-1,-1,-11,0.72,40.16,174.78,218,NA,NA
22-05-2023,14:09:52.085,304295.61,6030992,NA,-1,1,-7,0.72,40.18,174.73,218,NA,NA
22-05-2023,14:09:51.872,304295.6,6030992.09,NA,0,1,-4,0.73,40.18,174.71,218,NA,NA
22-05-2023,14:09:51.658,304295.58,6030992.19,NA,0,0,-7,0.71,40.17,174.66,218,NA,NA
22-05-2023,14:09:51.339,304295.56,6030992.32,NA,0,0,-7,0.71,40.16,174.59,218,NA,NA
22-05-2023,14:09:51.125,304295.54,6030992.41,NA,1,0,-10,0.71,40.15,174.57,218,NA,NA
22-05-2023,14:09:50.910,304295.53,6030992.5,NA,-2,1,-4,0.72,40.14,174.54,218,NA,NA
22-05-2023,14:09:50.589,304295.51,6030992.64,NA,-1,1,-10,0.72,40.16,174.52,218,NA,NA
22-05-2023,14:09:50.376,304295.49,6030992.72,NA,-3,1,-10,0.72,40.13,174.51,218,NA,NA
22-05-2023,14:09:50.056,304295.47,6030992.85,NA,5,1,-6,0.72,40.13,174.5,218,NA,NA
22-05-2023,14:09:49.842,304295.46,6030992.94,NA,9,-1,-15,0.72,40.12,174.5,218,NA,NA
22-05-2023,14:09:49.628,304295.45,6030993.02,NA,5,2,-6,0.73,40.11,174.49,218,NA,NA
22-05-2023,14:09:49.309,304295.43,6030993.15,NA,5,4,-4,0.74,40.11,174.47,218,NA,NA
22-05-2023,14:09:49.094,304295.42,6030993.23,NA,2,2,-11,0.74,40.11,174.46,218,NA,NA
22-05-2023,14:09:48.881,304295.41,6030993.32,NA,2,2,-11,0.74,40.07,174.46,218,NA,NA
22-05-2023,14:09:48.562,304295.39,6030993.44,NA,-2,5,4,0.75,40.09,174.44,218,NA,NA
22-05-2023,14:09:48.347,304295.37,6030993.53,NA,1,0,-11,0.75,40.09,174.43,218,NA,NA
22-05-2023,14:09:48.133,304295.36,6030993.61,NA,0,1,-7,0.76,40.09,174.4,218,NA,NA
22-05-2023,14:09:47.813,304295.34,6030993.74,NA,-1,0,-8,0.75,40.1,174.37,218,NA,NA
22-05-2023,14:09:47.600,304295.33,6030993.82,NA,-1,1,0,0.76,40.09,174.37,218,NA,NA
22-05-2023,14:09:47.384,304295.32,6030993.9,NA,-1,1,-8,0.76,40.11,174.37,218,NA,NA
22-05-2023,14:09:47.062,304295.3,6030994.02,NA,-1,0,1,0.75,40.11,174.35,218,NA,NA
22-05-2023,14:09:46.847,304295.29,6030994.1,NA,-3,1,3,0.75,40.11,174.33,218,NA,NA
22-05-2023,14:09:46.633,304295.28,6030994.18,NA,-2,2,-3,0.76,40.1,174.3,218,NA,NA
22-05-2023,14:09:46.313,304295.26,6030994.3,NA,-2,3,-11,0.76,40.12,174.26,218,NA,NA
22-05-2023,14:09:46.097,304295.26,6030994.38,NA,-2,1,-9,0.77,40.11,174.23,218,NA,NA
22-05-2023,14:09:45.885,304295.25,6030994.45,NA,-2,1,-9,0.78,40.1,174.21,218,NA,NA
22-05-2023,14:09:45.564,304295.24,6030994.57,NA,-1,3,-4,0.78,40.12,174.15,218,NA,NA
22-05-2023,14:09:45.350,304295.23,6030994.65,NA,-1,0,-6,0.79,40.12,174.13,218,NA,NA
22-05-2023,14:09:45.137,304295.23,6030994.72,NA,0,1,-9,0.8,40.12,174.1,218,NA,NA
22-05-2023,14:09:44.815,304295.22,6030994.84,NA,-2,2,-9,0.81,40.13,174.07,218,NA,NA
22-05-2023,14:09:44.601,304295.21,6030994.92,NA,-2,0,-15,0.81,40.14,174.06,218,NA,NA
22-05-2023,14:09:44.388,304295.21,6030995,NA,0,0,-2,0.8,40.15,174.04,218,NA,NA
22-05-2023,14:09:44.066,304295.2,6030995.12,NA,1,1,4,0.8,40.16,173.99,218,NA,NA
22-05-2023,14:09:43.851,304295.2,6030995.2,NA,-3,2,4,0.79,40.19,173.97,218,NA,NA
22-05-2023,14:09:43.639,304295.19,6030995.28,NA,-2,-1,-7,0.79,40.19,173.96,218,NA,NA
22-05-2023,14:09:43.320,304295.19,6030995.4,NA,-2,-1,-7,0.78,40.21,173.96,218,NA,NA
22-05-2023,14:09:43.104,304295.19,6030995.49,NA,0,2,-10,0.78,40.22,173.96,218,NA,NA
22-05-2023,14:09:42.890,304295.19,6030995.57,NA,1,0,-4,0.79,40.24,173.97,218,NA,NA
22-05-2023,14:09:42.571,304295.18,6030995.7,NA,0,4,-6,0.78,40.26,174.01,218,NA,NA
22-05-2023,14:09:42.355,304295.18,6030995.78,NA,-1,0,-6,0.78,40.26,174.05,218,NA,NA
22-05-2023,14:09:42.143,304295.18,6030995.87,NA,-4,1,4,0.79,40.26,174.1,218,NA,NA
22-05-2023,14:09:41.825,304295.17,6030996,NA,-5,-2,-4,0.78,40.27,174.24,218,NA,NA
22-05-2023,14:09:41.612,304295.17,6030996.09,NA,0,2,-20,0.78,40.28,174.33,218,NA,NA
22-05-2023,14:09:41.396,304295.17,6030996.19,NA,1,3,-10,0.78,40.28,174.44,218,NA,NA
22-05-2023,14:09:41.075,304295.18,6030996.33,NA,7,-1,-8,0.78,40.28,174.62,218,NA,NA
22-05-2023,14:09:40.861,304295.18,6030996.43,NA,7,-1,-8,0.79,40.28,174.72,218,NA,NA
22-05-2023,14:09:40.648,304295.18,6030996.52,NA,-3,-18,-4,0.78,40.3,174.81,218,NA,NA
22-05-2023,14:09:40.327,304295.17,6030996.67,NA,0,-15,-7,0.78,40.29,174.94,218,NA,NA
22-05-2023,14:09:40.114,304295.17,6030996.76,NA,6,-11,-6,0.78,40.28,174.96,218,NA,NA
22-05-2023,14:09:39.900,304295.16,6030996.85,NA,1,-15,-7,0.77,40.26,174.97,218,NA,NA
22-05-2023,14:09:39.580,304295.14,6030997,NA,-2,-9,-7,0.76,40.27,174.95,218,NA,NA
22-05-2023,14:09:39.365,304295.13,6030997.09,NA,2,3,-6,0.77,40.25,174.9,218,NA,NA
22-05-2023,14:09:39.150,304295.11,6030997.19,NA,-1,9,-8,0.76,40.25,174.84,218,NA,NA
22-05-2023,14:09:38.829,304295.09,6030997.33,NA,-1,2,-7,0.76,40.25,174.75,218,NA,NA
22-05-2023,14:09:38.615,304295.08,6030997.42,NA,-2,-14,-5,0.76,40.25,174.71,218,NA,NA
22-05-2023,14:09:38.401,304295.06,6030997.52,NA,-1,-20,-8,0.76,40.21,174.69,218,NA,NA
22-05-2023,14:09:38.081,304295.04,6030997.66,NA,5,-15,-8,0.77,40.17,174.65,218,NA,NA
22-05-2023,14:09:37.868,304295.03,6030997.75,NA,5,-15,-8,0.77,40.17,174.64,218,NA,NA
22-05-2023,14:09:37.655,304295.02,6030997.84,NA,-2,5,-9,0.77,40.16,174.63,218,NA,NA
22-05-2023,14:09:37.336,304295,6030997.97,NA,-5,19,-9,0.76,40.13,174.61,218,NA,NA
22-05-2023,14:09:37.122,304294.98,6030998.06,NA,-1,-1,-9,0.78,40.11,174.6,218,NA,NA
22-05-2023,14:09:36.908,304294.97,6030998.14,NA,-3,-6,-4,0.76,40.13,174.58,218,NA,NA
22-05-2023,14:09:36.586,304294.95,6030998.27,NA,0,-4,-3,0.76,40.11,174.57,218,NA,NA
22-05-2023,14:09:36.372,304294.94,6030998.36,NA,-2,5,-1,0.75,40.1,174.56,218,NA,NA
22-05-2023,14:09:36.159,304294.93,6030998.44,NA,-2,2,-2,0.76,40.11,174.56,218,NA,NA
22-05-2023,14:09:35.840,304294.92,6030998.57,NA,-7,-2,-5,0.75,40.09,174.57,218,NA,NA
22-05-2023,14:09:35.627,304294.91,6030998.65,NA,-12,4,-2,0.75,40.1,174.58,218,NA,NA
22-05-2023,14:09:35.413,304294.91,6030998.73,NA,-12,4,-2,0.74,40.1,174.61,218,NA,NA
22-05-2023,14:09:35.089,304294.9,6030998.86,NA,2,-4,-12,0.75,40.1,174.65,218,NA,NA
22-05-2023,14:09:34.874,304294.89,6030998.94,NA,2,-4,-5,0.74,40.12,174.67,218,NA,NA
22-05-2023,14:09:34.659,304294.88,6030999.02,NA,1,3,-7,0.74,40.13,174.69,218,NA,NA
22-05-2023,14:09:34.340,304294.87,6030999.14,NA,1,-2,-7,0.75,40.11,174.7,218,NA,NA
22-05-2023,14:09:34.127,304294.87,6030999.22,NA,-1,-1,-10,0.75,40.11,174.71,218,NA,NA
22-05-2023,14:09:33.913,304294.86,6030999.3,NA,2,-1,-5,0.75,40.12,174.73,218,NA,NA
22-05-2023,14:09:33.593,304294.85,6030999.42,NA,0,0,-6,0.77,40.1,174.78,218,NA,NA
22-05-2023,14:09:33.380,304294.85,6030999.5,NA,1,0,-17,0.76,40.15,174.81,218,NA,NA
22-05-2023,14:09:33.165,304294.84,6030999.58,NA,-1,0,-15,0.77,40.16,174.83,218,NA,NA
22-05-2023,14:09:32.843,304294.83,6030999.7,NA,0,1,-8,0.77,40.15,174.85,218,NA,NA
22-05-2023,14:09:32.628,304294.82,6030999.78,NA,-2,0,-13,0.77,40.18,174.87,218,NA,NA
22-05-2023,14:09:32.310,304294.82,6030999.91,NA,-2,0,-13,0.77,40.18,174.88,218,NA,NA
22-05-2023,14:09:32.097,304294.81,6030999.99,NA,-1,2,-18,0.77,40.19,174.89,218,NA,NA
