XR,YR,TSS
304295.21688787075,6030991.417692634,-2
304295.206895262,6030991.507610061,0
304295.186924971,6030991.637279782,-3
304295.17694740416,6030991.727032087,-1
304295.16696996696,6030991.816784403,-1
304295.13700785977,6030991.956371623,-1
304295.12702311773,6030992.04620652,0
304295.10706151486,6030992.145793787,0
304295.0871158759,6030992.275216017,0
304295.06713153725,6030992.365050952,1
304295.05715513736,6030992.454803364,-2
304295.03717094276,6030992.594638313,-1
304295.01717886707,6030992.67455579,-3
304294.99718680576,6030992.804473267,5
304294.9871868058,6030992.894473268,9
304294.9771947589,6030992.974390746,5
304294.9572107083,6030993.10422571,5
304294.9472187046,6030993.184143193,2
304294.9372187046,6030993.274143193,2
304294.9172347405,6030993.3939781645,-2
304294.89724278,6030993.483895652,1
304294.88726698497,6030993.563648123,0
304294.86729131965,6030993.6934006065,-1
304294.85729131964,6030993.773400607,-1
304294.84729131963,6030993.853400607,-1
304294.8273076146,6030993.9732356025,-1
304294.8173239673,6030994.053070605,-3
304294.8073486043,6030994.132823119,-2
304294.78738165513,6030994.252493157,-2
304294.78740659443,6030994.332245702,-2
304294.77742329263,6030994.402080739,-2
304294.76747373265,6030994.521585884,-1
304294.75749066117,6030994.601420944,-1
304294.75751616183,6030994.671173545,0
304294.74754179205,6030994.790926159,-2
304294.73755036434,6030994.870843701,-2
304294.7375675519,6030994.950678788,0
304294.72761077265,6030995.070266532,1
304294.72762816167,6030995.15010164,-3
304294.7176368778,6030995.230019196,-2
304294.7176368778,6030995.350019196,-2
304294.7176368778,6030995.440019196,0
304294.71762816166,6030995.52010164,1
304294.7075934411,6030995.65043143,0
304294.7075589509,6030995.730761244,-1
304294.70751616184,6030995.821173545,-4
304294.69739826693,6030995.952328186,-5
304294.6973239673,6030996.043070605,0
304294.6972347405,6030996.1439781645,1
304294.70709249185,6030996.285463625,7
304294.70701548154,6030996.38628907,7
304294.70694740413,6030996.477032087,-3
304294.69685113075,6030996.628105519,0
304294.69683653564,6030996.718270682,6
304294.6868292597,6030996.808353265,1
304294.666843826,6030996.9581881,-2
304294.6568804939,6030997.047775209,2
304294.636924971,6030997.147279783,-1
304294.6169926594,6030997.286536731,-1
304294.6070231178,6030997.37620652,-2
304294.58703843335,6030997.476041422,-1
304294.56706923747,6030997.615711245,5
304294.5570769746,6030997.705628703,5
304294.54708472604,6030997.795546163,-2
304294.5271002721,6030997.925381087,-5
304294.5071080668,6030998.015298551,-1
304294.49712369934,6030998.095133483,-3
304294.4771315373,6030998.225050951,0
304294.46713938954,6030998.314968421,-2
304294.45713938953,6030998.394968421,-2
304294.44713153725,6030998.525050952,-7
304294.43712369935,6030998.605133484,-12
304294.4371002721,6030998.6853810875,-12
304294.4270692375,6030998.815711245,2
304294.41705380665,6030998.895876331,2
304294.40703843336,6030998.976041422,1
304294.39703076833,6030999.096123971,1
304294.39702311775,6030999.17620652,-1
304294.38700785977,6030999.256371623,2
304294.3769699669,6030999.376784403,0
304294.3769474041,6030999.457032087,1
304294.3669324344,6030999.537197216,-1
304294.35691752215,6030999.65736235,0
304294.34690266766,6030999.737527491,-2
304294.346895262,6030999.867610062,-2
304294.33688787074,6030999.947692635,-1
304294.3268804939,6031000.027775209,-2
304294.3168804939,6031000.157775209,-1
304294.30689526204,6031000.237610062,-2
304294.29694740416,6031000.327032087,0
304294.27702311776,6031000.44620652,-2
304294.26707697456,6031000.535628703,-2
304294.2471472562,6031000.614885893,0
304294.22724278003,6031000.743895652,0
304294.2072913196,6031000.823400606,0
304294.1973321652,6031000.912988109,3
304294.1773403776,6031001.042905613,-1
304294.1673239673,6031001.133070605,-12
304294.1572994599,6031001.223318104,-1
304294.1472508339,6031001.353813141,-1
304294.1372107083,6031001.44422571,-1
304294.13713153725,6031001.535050952,0
304294.1270538066,6031001.675876331,-6
304294.1170078598,6031001.766371623,-1
304294.10698508087,6031001.866619287,6
304294.09697751666,6031002.006701845,8
304294.08697751665,6031002.096701845,8
304294.07698508084,6031002.186619287,4
304294.0569926594,6031002.326536731,4
304294.04701548157,6031002.416289071,-11
304294.0370461128,6031002.495958876,-3
304294.017084726,6031002.625546163,-6
304294.0071080668,6031002.715298551,2
304293.9971393895,6031002.794968421,7
304293.97716303286,6031002.924720838,-4
304293.97715513734,6031003.004803364,-4
304293.96714725625,6031003.094885892,-4
304293.95712369937,6031003.2151334835,-5
304293.9471002721,6031003.305381087,-4
304293.9470692375,6031003.385711244,-5
304293.9370307683,6031003.516123971,0
304293.9370154815,6031003.606289071,-1
304293.9270078598,6031003.696371623,-1
304293.9170002524,6031003.826454177,-1
304293.9170078598,6031003.916371623,5
304293.9070078598,6031003.996371623,-3
304293.89699265937,6031004.126536731,-3
304293.88697751664,6031004.206701845,0
304293.88695491065,6031004.286949525,2
304293.876924971,6031004.417279783,1
304293.8669100877,6031004.507444919,0
304293.8569100877,6031004.587444919,-1
304293.84692497103,6031004.7172797825,-2
304293.836924971,6031004.807279782,-3
304293.826939912,6031004.887114651,-2
304293.80696243164,6031005.016866962,-2
304293.7969850809,6031005.106619287,1
304293.77701548155,6031005.186289071,-2
304293.75707697455,6031005.315628704,-2
304293.7471002721,6031005.395381087,0
304293.73711587593,6031005.485216017,-1
304293.71713938954,6031005.604968421,-1
