DATE,TIME,XR,YR,HEIGHT,TSS1,TSS2,TSS3,ALT,DEP,HEAD,LINE,DISCARD1,DISCARD2
22-05-2023,14:04:55.901,304298.52,6030986.76,NA,-4,2,-1,0.78,40.15,353.53,217,NA,NA
22-05-2023,14:04:56.114,304298.51,6030986.86,NA,-4,2,-1,0.77,40.14,353.49,217,NA,NA
22-05-2023,14:04:56.327,304298.51,6030986.96,NA,-11,-1,-2,0.77,40.14,353.44,217,NA,NA
22-05-2023,14:04:56.649,304298.5,6030987.11,NA,-5,-1,-3,0.78,40.14,353.29,217,NA,NA
22-05-2023,14:04:56.864,304298.5,6030987.21,NA,-4,-1,-4,0.78,40.15,353.17,217,NA,NA
22-05-2023,14:04:57.077,304298.5,6030987.31,NA,-1,0,0,0.79,40.13,353.05,217,NA,NA
22-05-2023,14:04:57.397,304298.5,6030987.45,NA,2,-2,2,0.78,40.14,352.89,217,NA,NA
22-05-2023,14:04:57.611,304298.49,6030987.55,NA,-10,-2,2,0.79,40.15,352.8,217,NA,NA
22-05-2023,14:04:57.824,304298.49,6030987.65,NA,-8,0,-2,0.79,40.13,352.73,217,NA,NA
22-05-2023,14:04:58.145,304298.48,6030987.79,NA,-11,-1,2,0.78,40.13,352.64,217,NA,NA
22-05-2023,14:04:58.358,304298.48,6030987.88,NA,-6,-1,0,0.78,40.16,352.64,217,NA,NA
22-05-2023,14:04:58.573,304298.47,6030987.97,NA,-6,-1,0,0.78,40.14,352.66,217,NA,NA
22-05-2023,14:04:58.894,304298.45,6030988.11,NA,-12,-1,-1,0.78,40.14,352.71,217,NA,NA
22-05-2023,14:04:59.108,304298.44,6030988.2,NA,2,-1,-1,0.78,40.15,352.74,217,NA,NA
22-05-2023,14:04:59.322,304298.42,6030988.29,NA,2,-2,0,0.78,40.15,352.78,217,NA,NA
22-05-2023,14:04:59.642,304298.4,6030988.43,NA,-1,-1,-2,0.78,40.14,352.89,217,NA,NA
22-05-2023,14:04:59.855,304298.39,6030988.52,NA,-1,0,-2,0.78,40.14,352.97,217,NA,NA
22-05-2023,14:05:00.068,304298.37,6030988.6,NA,0,-1,-2,0.78,40.15,353.05,217,NA,NA
22-05-2023,14:05:00.385,304298.35,6030988.74,NA,-1,-1,2,0.78,40.14,353.2,217,NA,NA
22-05-2023,14:05:00.596,304298.33,6030988.83,NA,-1,0,-8,0.78,40.16,353.32,217,NA,NA
22-05-2023,14:05:00.809,304298.31,6030988.91,NA,-2,0,-10,0.79,40.16,353.44,217,NA,NA
22-05-2023,14:05:01.130,304298.28,6030989.05,NA,-2,0,-10,0.79,40.14,353.62,217,NA,NA
22-05-2023,14:05:01.343,304298.26,6030989.13,NA,-1,-1,0,0.79,40.15,353.8,217,NA,NA
22-05-2023,14:05:01.555,304298.24,6030989.22,NA,0,-2,0,0.79,40.15,353.93,217,NA,NA
22-05-2023,14:05:01.875,304298.22,6030989.35,NA,-1,0,-2,0.79,40.16,354.08,217,NA,NA
22-05-2023,14:05:02.087,304298.2,6030989.44,NA,-1,-7,-4,0.8,40.16,354.17,217,NA,NA
