DATE,TIME,XR,YR,HEIGHT,TSS1,TSS2,TSS3,ALT,DEP,HEAD,LINE,DISCARD1,DISCARD2
22-05-2023,13:58:35.785,304303.54,6030987.93,NA,-1,-4,1,0.83,39.96,357.43,215,NA,NA
22-05-2023,13:58:35.998,304303.54,6030988.02,NA,-3,-1,0,0.83,39.97,357.27,215,NA,NA
22-05-2023,13:58:36.321,304303.54,6030988.14,NA,-2,6,1,0.84,39.97,357.06,215,NA,NA
22-05-2023,13:58:36.535,304303.54,6030988.22,NA,-2,6,1,0.84,39.96,356.88,215,NA,NA
22-05-2023,13:58:36.747,304303.54,6030988.3,NA,-1,12,0,0.84,39.97,356.79,215,NA,NA
22-05-2023,13:58:37.070,304303.53,6030988.43,NA,0,5,0,0.84,39.98,356.71,215,NA,NA
22-05-2023,13:58:37.283,304303.53,6030988.51,NA,-2,-3,3,0.85,39.97,356.68,215,NA,NA
22-05-2023,13:58:37.496,304303.53,6030988.59,NA,5,1,2,0.85,39.98,356.65,215,NA,NA
22-05-2023,13:58:37.816,304303.53,6030988.7,NA,0,-1,0,0.85,39.99,356.6,215,NA,NA
22-05-2023,13:58:38.030,304303.54,6030988.78,NA,-1,4,-1,0.85,40,356.53,215,NA,NA
22-05-2023,13:58:38.245,304303.54,6030988.85,NA,2,3,-1,0.85,40.02,356.47,215,NA,NA
22-05-2023,13:58:38.564,304303.55,6030988.96,NA,3,1,1,0.85,40.06,356.36,215,NA,NA
22-05-2023,13:58:38.777,304303.56,6030989.03,NA,0,1,0,0.85,40.08,356.28,215,NA,NA
22-05-2023,13:58:38.990,304303.57,6030989.1,NA,0,1,0,0.85,40.08,356.2,215,NA,NA
22-05-2023,13:58:39.312,304303.59,6030989.21,NA,4,-4,1,0.85,40.1,356.04,215,NA,NA
22-05-2023,13:58:39.525,304303.6,6030989.28,NA,1,2,2,0.85,40.11,355.9,215,NA,NA
22-05-2023,13:58:39.739,304303.61,6030989.35,NA,-2,-1,3,0.85,40.11,355.69,215,NA,NA
22-05-2023,13:58:40.059,304303.63,6030989.45,NA,0,-10,2,0.85,40.13,355.47,215,NA,NA
22-05-2023,13:58:40.272,304303.64,6030989.53,NA,1,0,0,0.86,40.13,355.31,215,NA,NA
22-05-2023,13:58:40.487,304303.65,6030989.6,NA,4,-9,0,0.85,40.14,355.14,215,NA,NA
22-05-2023,13:58:40.809,304303.67,6030989.7,NA,11,2,-1,0.85,40.16,354.87,215,NA,NA
22-05-2023,13:58:41.024,304303.68,6030989.77,NA,-8,7,-1,0.86,40.17,354.68,215,NA,NA
22-05-2023,13:58:41.238,304303.69,6030989.85,NA,-2,0,-2,0.86,40.16,354.42,215,NA,NA
22-05-2023,13:58:41.558,304303.7,6030989.95,NA,3,1,1,0.86,40.18,354.2,215,NA,NA
22-05-2023,13:58:41.772,304303.7,6030990.02,NA,3,2,-10,0.86,40.18,354.1,215,NA,NA
22-05-2023,13:58:41.985,304303.7,6030990.09,NA,3,2,-10,0.86,40.19,354.03,215,NA,NA
22-05-2023,13:58:42.305,304303.7,6030990.2,NA,8,0,-2,0.85,40.2,353.95,215,NA,NA
22-05-2023,13:58:42.519,304303.7,6030990.27,NA,10,7,0,0.85,40.19,353.83,215,NA,NA
22-05-2023,13:58:42.733,304303.7,6030990.34,NA,5,-2,1,0.84,40.19,353.49,215,NA,NA
22-05-2023,13:58:43.054,304303.7,6030990.45,NA,4,-5,0,0.83,40.19,353.19,215,NA,NA
22-05-2023,13:58:43.270,304303.69,6030990.53,NA,-3,-7,0,0.83,40.21,353.04,215,NA,NA
22-05-2023,13:58:43.483,304303.68,6030990.6,NA,17,1,-2,0.83,40.22,352.94,215,NA,NA
22-05-2023,13:58:43.804,304303.66,6030990.71,NA,3,0,4,0.83,40.2,352.86,215,NA,NA
22-05-2023,13:58:44.018,304303.64,6030990.79,NA,-4,0,7,0.83,40.19,352.83,215,NA,NA
22-05-2023,13:58:44.231,304303.61,6030990.87,NA,0,1,-1,0.83,40.18,352.81,215,NA,NA
22-05-2023,13:58:44.551,304303.57,6030990.98,NA,0,1,-1,0.84,40.17,352.86,215,NA,NA
22-05-2023,13:58:44.765,304303.54,6030991.07,NA,4,0,4,0.85,40.15,352.93,215,NA,NA
22-05-2023,13:58:44.979,304303.51,6030991.15,NA,0,2,0,0.86,40.14,353.06,215,NA,NA
22-05-2023,13:58:45.301,304303.44,6030991.27,NA,-1,-11,0,0.86,40.13,353.33,215,NA,NA
22-05-2023,13:58:45.515,304303.4,6030991.35,NA,-1,8,0,0.86,40.12,353.57,215,NA,NA
22-05-2023,13:58:45.729,304303.36,6030991.43,NA,0,1,-2,0.86,40.1,353.96,215,NA,NA
