Data;Time;TaskName;Logging Level;Message;Exception; 2026.02.24;19.05.50;[ExportAsciiTask];ERROR;No runline found.;;
2026.02.25;13.19.00;[ExportAsciiTask];ERROR;No runline found.;;
2026.02.25;13.19.00;[ExportAsciiTask];ERROR;Should the export continue with possible invalid KPs?;;
2026.02.25;13.19.06;[ExportAsciiTask];ERROR;No runline found.;;
2026.02.25;13.19.06;[ExportAsciiTask];ERROR;Should the export continue with possible invalid KPs?;;
2026.02.25;13.19.13;[ExportAsciiTask];ERROR;No runline found.;;
2026.02.25;13.19.13;[ExportAsciiTask];ERROR;Should the export continue with possible invalid KPs?;;
2026.02.25;13.19.20;[ExportAsciiTask];ERROR;No runline found.;;
2026.02.25;13.19.20;[ExportAsciiTask];ERROR;Should the export continue with possible invalid KPs?;;
2026.02.25;13.19.26;[ExportAsciiTask];ERROR;No runline found.;;
2026.02.25;13.19.26;[ExportAsciiTask];ERROR;Should the export continue with possible invalid KPs?;;
2026.02.25;13.19.32;[ExportAsciiTask];ERROR;No runline found.;;
2026.02.25;13.19.32;[ExportAsciiTask];ERROR;Should the export continue with possible invalid KPs?;;
Data;Time;TaskName;Logging Level;Message;Exception; 2026.02.25;13.19.59;[ExportAsciiTask];ERROR;No runline found.;;
2026.02.25;13.19.59;[ExportAsciiTask];ERROR;Should the export continue with possible invalid KPs?;;
